,位置,地铁,小区,房屋户型,房屋朝向,月租金,楼层,面积
1333,奉贤 海湾,暂无数据,海尚墅林苑,1室1厅1卫,南,1000,中楼层 (共17层),71平米
1334,闵行 颛桥,暂无数据,都市富苑,3室2厅1卫  整租,南,4580,低楼层 (共13层),97.72平米
1335,松江 佘山,暂无数据,绿地海珀佘山,2室1厅1卫,南 北,3000,中楼层 (共6层),68.51平米
1336,浦东 金杨,距地铁6号线云山路334米,名典苑,2室2厅1卫,南,6500,低楼层 (共11层),123平米
1337,闵行 莘庄,暂无数据,绿梅二村,2室1厅1卫  整租,南,4500,低楼层 (共6层),64平米
1338,浦东 张江,暂无数据,川杨新苑(一期),2室2厅1卫,南 北,5700,低楼层 (共13层),94平米
1339,嘉定 丰庄,暂无数据,嘉利坊,1室0厅1卫  整租,南,3500,低楼层 (共6层),34.38平米
1340,虹口 曲阳,暂无数据,巴林小区,2室1厅1卫,南,5300,中楼层 (共6层),54.4平米
1341,静安 南京西路,距地铁1号线汉中路777米,泰府名邸,2室2厅1卫  整租,南,18500,低楼层 (共32层),118.19平米
1342,闵行 颛桥,暂无数据,金榜星墅,5室2厅3卫  整租,南,12000,低楼层 (共3层),219.52平米
1343,长宁 天山,距地铁2号线威宁路931米,仁恒河滨花园,3室2厅2卫,南,32000,高楼层 (共31层),184.58平米
1344,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,4200,高楼层 (共18层),89平米
1345,徐汇 徐家汇,距地铁1号线徐家汇662米,南天大楼,2室1厅1卫  整租,东南,9500,高楼层 (共23层),82.4平米
1346,普陀 曹杨,距地铁11号线(迪士尼-花桥)枫桥路257米,曹杨七村,2室0厅1卫,南,4500,低楼层 (共5层),45平米
1347,普陀 桃浦,暂无数据,同进理想城,2室2厅2卫  整租,南,4200,中楼层 (共9层),41.2平米
1348,浦东 高行,暂无数据,幸福小镇(公寓),2室2厅1卫  整租,南,4500,中楼层 (共14层),97.72平米
1349,浦东 洋泾,距地铁6号线民生路575米,巨西小区,1室1厅1卫,南,5000,高楼层 (共6层),40.61平米
1350,黄浦 黄浦滨江,距地铁9号线小南门736米,上海滩花园,2室2厅1卫  整租,南,16000,中楼层 (共18层),108平米
1351,嘉定 嘉定老城,暂无数据,张马路38弄,3室1厅1卫,南,3300,低楼层 (共6层),82.84平米
1352,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,5000,低楼层 (共18层),90.14平米
1353,闵行 梅陇,距地铁1号线外环路763米,罗阳七村(三洲花园),1室1厅1卫  整租,南,3500,低楼层 (共6层),42.55平米
1354,杨浦 新江湾城,距地铁10号线(新江湾城-虹桥火车站)三门路826米,尚浦名邸,3室2厅3卫,南,26500,中楼层 (共12层),197平米
1355,闵行 静安新城,距地铁9号线合川路931米,大上海国际花园十区,3室2厅1卫  整租,南,11000,低楼层 (共6层),98.18平米
1356,闵行 古美,距地铁1号线莲花路670米,南方新村,2室2厅1卫,南,5000,中楼层 (共6层),78.18平米
1357,青浦 赵巷,暂无数据,宝龙城市广场(青浦),3室1厅2卫,南,5500,中楼层 (共16层),76平米
1358,闸北 大宁,距地铁1号线中山北路416米,中山北路805弄,1室1厅1卫,南,3500,高楼层 (共6层),34.29平米
1359,普陀 真光,暂无数据,阳光威尼斯(二期),2室2厅1卫  整租,南,4800,低楼层 (共18层),91.33平米
1360,普陀 曹杨,距地铁3号线曹杨路531米,曹杨六村(兰溪园),2室1厅1卫,南,5500,中楼层 (共26层),61.56平米
1361,浦东 世博,距地铁7号线杨高南路244米,凯德嘉博名邸,2室1厅1卫,南,9000,低楼层 (共16层),91.96平米
1362,虹口 鲁迅公园,距地铁8号线曲阳路691米,欧四小区,1室0厅1卫,南,3600,中楼层 (共5层),29平米
1363,奉贤 海湾,暂无数据,海尚墅林苑,1室1厅1卫,南,1000,中楼层 (共17层),71平米
1364,闵行 颛桥,暂无数据,都市富苑,3室2厅1卫  整租,南,4580,低楼层 (共13层),97.72平米
1365,松江 佘山,暂无数据,绿地海珀佘山,2室1厅1卫,南 北,3000,中楼层 (共6层),68.51平米
1366,浦东 金杨,距地铁6号线云山路334米,名典苑,2室2厅1卫,南,6500,低楼层 (共11层),123平米
1367,闵行 莘庄,暂无数据,绿梅二村,2室1厅1卫  整租,南,4500,低楼层 (共6层),64平米
1368,浦东 张江,暂无数据,川杨新苑(一期),2室2厅1卫,南 北,5700,低楼层 (共13层),94平米
1369,嘉定 丰庄,暂无数据,嘉利坊,1室0厅1卫  整租,南,3500,低楼层 (共6层),34.38平米
1370,虹口 曲阳,暂无数据,巴林小区,2室1厅1卫,南,5300,中楼层 (共6层),54.4平米
1371,静安 南京西路,距地铁1号线汉中路777米,泰府名邸,2室2厅1卫  整租,南,18500,低楼层 (共32层),118.19平米
1372,闵行 颛桥,暂无数据,金榜星墅,5室2厅3卫  整租,南,12000,低楼层 (共3层),219.52平米
1373,长宁 天山,距地铁2号线威宁路931米,仁恒河滨花园,3室2厅2卫,南,32000,高楼层 (共31层),184.58平米
1374,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,4200,高楼层 (共18层),89平米
1375,徐汇 徐家汇,距地铁1号线徐家汇662米,南天大楼,2室1厅1卫  整租,东南,9500,高楼层 (共23层),82.4平米
1376,普陀 曹杨,距地铁11号线(迪士尼-花桥)枫桥路257米,曹杨七村,2室0厅1卫,南,4500,低楼层 (共5层),45平米
1377,普陀 桃浦,暂无数据,同进理想城,2室2厅2卫  整租,南,4200,中楼层 (共9层),41.2平米
1378,浦东 高行,暂无数据,幸福小镇(公寓),2室2厅1卫  整租,南,4500,中楼层 (共14层),97.72平米
1379,浦东 洋泾,距地铁6号线民生路575米,巨西小区,1室1厅1卫,南,5000,高楼层 (共6层),40.61平米
1380,黄浦 黄浦滨江,距地铁9号线小南门736米,上海滩花园,2室2厅1卫  整租,南,16000,中楼层 (共18层),108平米
1381,嘉定 嘉定老城,暂无数据,张马路38弄,3室1厅1卫,南,3300,低楼层 (共6层),82.84平米
1382,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,5000,低楼层 (共18层),90.14平米
1383,闵行 梅陇,距地铁1号线外环路763米,罗阳七村(三洲花园),1室1厅1卫  整租,南,3500,低楼层 (共6层),42.55平米
1384,杨浦 新江湾城,距地铁10号线(新江湾城-虹桥火车站)三门路826米,尚浦名邸,3室2厅3卫,南,26500,中楼层 (共12层),197平米
1385,闵行 静安新城,距地铁9号线合川路931米,大上海国际花园十区,3室2厅1卫  整租,南,11000,低楼层 (共6层),98.18平米
1386,闵行 古美,距地铁1号线莲花路670米,南方新村,2室2厅1卫,南,5000,中楼层 (共6层),78.18平米
1387,青浦 赵巷,暂无数据,宝龙城市广场(青浦),3室1厅2卫,南,5500,中楼层 (共16层),76平米
1388,闸北 大宁,距地铁1号线中山北路416米,中山北路805弄,1室1厅1卫,南,3500,高楼层 (共6层),34.29平米
1389,普陀 真光,暂无数据,阳光威尼斯(二期),2室2厅1卫  整租,南,4800,低楼层 (共18层),91.33平米
1390,普陀 曹杨,距地铁3号线曹杨路531米,曹杨六村(兰溪园),2室1厅1卫,南,5500,中楼层 (共26层),61.56平米
1391,浦东 世博,距地铁7号线杨高南路244米,凯德嘉博名邸,2室1厅1卫,南,9000,低楼层 (共16层),91.96平米
1392,虹口 鲁迅公园,距地铁8号线曲阳路691米,欧四小区,1室0厅1卫,南,3600,中楼层 (共5层),29平米
1393,奉贤 海湾,暂无数据,海尚墅林苑,1室1厅1卫,南,1000,中楼层 (共17层),71平米
1394,闵行 颛桥,暂无数据,都市富苑,3室2厅1卫  整租,南,4580,低楼层 (共13层),97.72平米
1395,松江 佘山,暂无数据,绿地海珀佘山,2室1厅1卫,南 北,3000,中楼层 (共6层),68.51平米
1396,浦东 金杨,距地铁6号线云山路334米,名典苑,2室2厅1卫,南,6500,低楼层 (共11层),123平米
1397,闵行 莘庄,暂无数据,绿梅二村,2室1厅1卫  整租,南,4500,低楼层 (共6层),64平米
1398,浦东 张江,暂无数据,川杨新苑(一期),2室2厅1卫,南 北,5700,低楼层 (共13层),94平米
1399,嘉定 丰庄,暂无数据,嘉利坊,1室0厅1卫  整租,南,3500,低楼层 (共6层),34.38平米
1400,虹口 曲阳,暂无数据,巴林小区,2室1厅1卫,南,5300,中楼层 (共6层),54.4平米
1401,静安 南京西路,距地铁1号线汉中路777米,泰府名邸,2室2厅1卫  整租,南,18500,低楼层 (共32层),118.19平米
1402,闵行 颛桥,暂无数据,金榜星墅,5室2厅3卫  整租,南,12000,低楼层 (共3层),219.52平米
1403,长宁 天山,距地铁2号线威宁路931米,仁恒河滨花园,3室2厅2卫,南,32000,高楼层 (共31层),184.58平米
1404,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,4200,高楼层 (共18层),89平米
1405,徐汇 徐家汇,距地铁1号线徐家汇662米,南天大楼,2室1厅1卫  整租,东南,9500,高楼层 (共23层),82.4平米
1406,普陀 曹杨,距地铁11号线(迪士尼-花桥)枫桥路257米,曹杨七村,2室0厅1卫,南,4500,低楼层 (共5层),45平米
1407,普陀 桃浦,暂无数据,同进理想城,2室2厅2卫  整租,南,4200,中楼层 (共9层),41.2平米
1408,浦东 高行,暂无数据,幸福小镇(公寓),2室2厅1卫  整租,南,4500,中楼层 (共14层),97.72平米
1409,浦东 洋泾,距地铁6号线民生路575米,巨西小区,1室1厅1卫,南,5000,高楼层 (共6层),40.61平米
1410,黄浦 黄浦滨江,距地铁9号线小南门736米,上海滩花园,2室2厅1卫  整租,南,16000,中楼层 (共18层),108平米
1411,嘉定 嘉定老城,暂无数据,张马路38弄,3室1厅1卫,南,3300,低楼层 (共6层),82.84平米
1412,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,5000,低楼层 (共18层),90.14平米
1413,闵行 梅陇,距地铁1号线外环路763米,罗阳七村(三洲花园),1室1厅1卫  整租,南,3500,低楼层 (共6层),42.55平米
1414,杨浦 新江湾城,距地铁10号线(新江湾城-虹桥火车站)三门路826米,尚浦名邸,3室2厅3卫,南,26500,中楼层 (共12层),197平米
1415,闵行 静安新城,距地铁9号线合川路931米,大上海国际花园十区,3室2厅1卫  整租,南,11000,低楼层 (共6层),98.18平米
1416,闵行 古美,距地铁1号线莲花路670米,南方新村,2室2厅1卫,南,5000,中楼层 (共6层),78.18平米
1417,青浦 赵巷,暂无数据,宝龙城市广场(青浦),3室1厅2卫,南,5500,中楼层 (共16层),76平米
1418,闸北 大宁,距地铁1号线中山北路416米,中山北路805弄,1室1厅1卫,南,3500,高楼层 (共6层),34.29平米
1419,普陀 真光,暂无数据,阳光威尼斯(二期),2室2厅1卫  整租,南,4800,低楼层 (共18层),91.33平米
1420,普陀 曹杨,距地铁3号线曹杨路531米,曹杨六村(兰溪园),2室1厅1卫,南,5500,中楼层 (共26层),61.56平米
1421,浦东 世博,距地铁7号线杨高南路244米,凯德嘉博名邸,2室1厅1卫,南,9000,低楼层 (共16层),91.96平米
1422,虹口 鲁迅公园,距地铁8号线曲阳路691米,欧四小区,1室0厅1卫,南,3600,中楼层 (共5层),29平米
1423,奉贤 海湾,暂无数据,海尚墅林苑,1室1厅1卫,南,1000,中楼层 (共17层),71平米
1424,闵行 颛桥,暂无数据,都市富苑,3室2厅1卫  整租,南,4580,低楼层 (共13层),97.72平米
1425,松江 佘山,暂无数据,绿地海珀佘山,2室1厅1卫,南 北,3000,中楼层 (共6层),68.51平米
1426,浦东 金杨,距地铁6号线云山路334米,名典苑,2室2厅1卫,南,6500,低楼层 (共11层),123平米
1427,闵行 莘庄,暂无数据,绿梅二村,2室1厅1卫  整租,南,4500,低楼层 (共6层),64平米
1428,浦东 张江,暂无数据,川杨新苑(一期),2室2厅1卫,南 北,5700,低楼层 (共13层),94平米
1429,嘉定 丰庄,暂无数据,嘉利坊,1室0厅1卫  整租,南,3500,低楼层 (共6层),34.38平米
1430,虹口 曲阳,暂无数据,巴林小区,2室1厅1卫,南,5300,中楼层 (共6层),54.4平米
1431,静安 南京西路,距地铁1号线汉中路777米,泰府名邸,2室2厅1卫  整租,南,18500,低楼层 (共32层),118.19平米
1432,闵行 颛桥,暂无数据,金榜星墅,5室2厅3卫  整租,南,12000,低楼层 (共3层),219.52平米
1433,长宁 天山,距地铁2号线威宁路931米,仁恒河滨花园,3室2厅2卫,南,32000,高楼层 (共31层),184.58平米
1434,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,4200,高楼层 (共18层),89平米
1435,徐汇 徐家汇,距地铁1号线徐家汇662米,南天大楼,2室1厅1卫  整租,东南,9500,高楼层 (共23层),82.4平米
1436,普陀 曹杨,距地铁11号线(迪士尼-花桥)枫桥路257米,曹杨七村,2室0厅1卫,南,4500,低楼层 (共5层),45平米
1437,普陀 桃浦,暂无数据,同进理想城,2室2厅2卫  整租,南,4200,中楼层 (共9层),41.2平米
1438,浦东 高行,暂无数据,幸福小镇(公寓),2室2厅1卫  整租,南,4500,中楼层 (共14层),97.72平米
1439,浦东 洋泾,距地铁6号线民生路575米,巨西小区,1室1厅1卫,南,5000,高楼层 (共6层),40.61平米
1440,黄浦 黄浦滨江,距地铁9号线小南门736米,上海滩花园,2室2厅1卫  整租,南,16000,中楼层 (共18层),108平米
1441,嘉定 嘉定老城,暂无数据,张马路38弄,3室1厅1卫,南,3300,低楼层 (共6层),82.84平米
1442,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,5000,低楼层 (共18层),90.14平米
1443,闵行 梅陇,距地铁1号线外环路763米,罗阳七村(三洲花园),1室1厅1卫  整租,南,3500,低楼层 (共6层),42.55平米
1444,杨浦 新江湾城,距地铁10号线(新江湾城-虹桥火车站)三门路826米,尚浦名邸,3室2厅3卫,南,26500,中楼层 (共12层),197平米
1445,闵行 静安新城,距地铁9号线合川路931米,大上海国际花园十区,3室2厅1卫  整租,南,11000,低楼层 (共6层),98.18平米
1446,闵行 古美,距地铁1号线莲花路670米,南方新村,2室2厅1卫,南,5000,中楼层 (共6层),78.18平米
1447,青浦 赵巷,暂无数据,宝龙城市广场(青浦),3室1厅2卫,南,5500,中楼层 (共16层),76平米
1448,闸北 大宁,距地铁1号线中山北路416米,中山北路805弄,1室1厅1卫,南,3500,高楼层 (共6层),34.29平米
1449,普陀 真光,暂无数据,阳光威尼斯(二期),2室2厅1卫  整租,南,4800,低楼层 (共18层),91.33平米
1450,普陀 曹杨,距地铁3号线曹杨路531米,曹杨六村(兰溪园),2室1厅1卫,南,5500,中楼层 (共26层),61.56平米
1451,浦东 世博,距地铁7号线杨高南路244米,凯德嘉博名邸,2室1厅1卫,南,9000,低楼层 (共16层),91.96平米
1452,虹口 鲁迅公园,距地铁8号线曲阳路691米,欧四小区,1室0厅1卫,南,3600,中楼层 (共5层),29平米
1453,奉贤 海湾,暂无数据,海尚墅林苑,1室1厅1卫,南,1000,中楼层 (共17层),71平米
1454,闵行 颛桥,暂无数据,都市富苑,3室2厅1卫  整租,南,4580,低楼层 (共13层),97.72平米
1455,松江 佘山,暂无数据,绿地海珀佘山,2室1厅1卫,南 北,3000,中楼层 (共6层),68.51平米
1456,浦东 金杨,距地铁6号线云山路334米,名典苑,2室2厅1卫,南,6500,低楼层 (共11层),123平米
1457,闵行 莘庄,暂无数据,绿梅二村,2室1厅1卫  整租,南,4500,低楼层 (共6层),64平米
1458,浦东 张江,暂无数据,川杨新苑(一期),2室2厅1卫,南 北,5700,低楼层 (共13层),94平米
1459,嘉定 丰庄,暂无数据,嘉利坊,1室0厅1卫  整租,南,3500,低楼层 (共6层),34.38平米
1460,虹口 曲阳,暂无数据,巴林小区,2室1厅1卫,南,5300,中楼层 (共6层),54.4平米
1461,静安 南京西路,距地铁1号线汉中路777米,泰府名邸,2室2厅1卫  整租,南,18500,低楼层 (共32层),118.19平米
1462,闵行 颛桥,暂无数据,金榜星墅,5室2厅3卫  整租,南,12000,低楼层 (共3层),219.52平米
1463,长宁 天山,距地铁2号线威宁路931米,仁恒河滨花园,3室2厅2卫,南,32000,高楼层 (共31层),184.58平米
1464,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,4200,高楼层 (共18层),89平米
1465,徐汇 徐家汇,距地铁1号线徐家汇662米,南天大楼,2室1厅1卫  整租,东南,9500,高楼层 (共23层),82.4平米
1466,普陀 曹杨,距地铁11号线(迪士尼-花桥)枫桥路257米,曹杨七村,2室0厅1卫,南,4500,低楼层 (共5层),45平米
1467,普陀 桃浦,暂无数据,同进理想城,2室2厅2卫  整租,南,4200,中楼层 (共9层),41.2平米
1468,浦东 高行,暂无数据,幸福小镇(公寓),2室2厅1卫  整租,南,4500,中楼层 (共14层),97.72平米
1469,浦东 洋泾,距地铁6号线民生路575米,巨西小区,1室1厅1卫,南,5000,高楼层 (共6层),40.61平米
1470,黄浦 黄浦滨江,距地铁9号线小南门736米,上海滩花园,2室2厅1卫  整租,南,16000,中楼层 (共18层),108平米
1471,嘉定 嘉定老城,暂无数据,张马路38弄,3室1厅1卫,南,3300,低楼层 (共6层),82.84平米
1472,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,5000,低楼层 (共18层),90.14平米
1473,闵行 梅陇,距地铁1号线外环路763米,罗阳七村(三洲花园),1室1厅1卫  整租,南,3500,低楼层 (共6层),42.55平米
1474,杨浦 新江湾城,距地铁10号线(新江湾城-虹桥火车站)三门路826米,尚浦名邸,3室2厅3卫,南,26500,中楼层 (共12层),197平米
1475,闵行 静安新城,距地铁9号线合川路931米,大上海国际花园十区,3室2厅1卫  整租,南,11000,低楼层 (共6层),98.18平米
1476,闵行 古美,距地铁1号线莲花路670米,南方新村,2室2厅1卫,南,5000,中楼层 (共6层),78.18平米
1477,青浦 赵巷,暂无数据,宝龙城市广场(青浦),3室1厅2卫,南,5500,中楼层 (共16层),76平米
1478,闸北 大宁,距地铁1号线中山北路416米,中山北路805弄,1室1厅1卫,南,3500,高楼层 (共6层),34.29平米
1479,普陀 真光,暂无数据,阳光威尼斯(二期),2室2厅1卫  整租,南,4800,低楼层 (共18层),91.33平米
1480,普陀 曹杨,距地铁3号线曹杨路531米,曹杨六村(兰溪园),2室1厅1卫,南,5500,中楼层 (共26层),61.56平米
1481,浦东 世博,距地铁7号线杨高南路244米,凯德嘉博名邸,2室1厅1卫,南,9000,低楼层 (共16层),91.96平米
1482,虹口 鲁迅公园,距地铁8号线曲阳路691米,欧四小区,1室0厅1卫,南,3600,中楼层 (共5层),29平米
1483,奉贤 海湾,暂无数据,海尚墅林苑,1室1厅1卫,南,1000,中楼层 (共17层),71平米
1484,闵行 颛桥,暂无数据,都市富苑,3室2厅1卫  整租,南,4580,低楼层 (共13层),97.72平米
1485,松江 佘山,暂无数据,绿地海珀佘山,2室1厅1卫,南 北,3000,中楼层 (共6层),68.51平米
1486,浦东 金杨,距地铁6号线云山路334米,名典苑,2室2厅1卫,南,6500,低楼层 (共11层),123平米
1487,闵行 莘庄,暂无数据,绿梅二村,2室1厅1卫  整租,南,4500,低楼层 (共6层),64平米
1488,浦东 张江,暂无数据,川杨新苑(一期),2室2厅1卫,南 北,5700,低楼层 (共13层),94平米
1489,嘉定 丰庄,暂无数据,嘉利坊,1室0厅1卫  整租,南,3500,低楼层 (共6层),34.38平米
1490,虹口 曲阳,暂无数据,巴林小区,2室1厅1卫,南,5300,中楼层 (共6层),54.4平米
1491,静安 南京西路,距地铁1号线汉中路777米,泰府名邸,2室2厅1卫  整租,南,18500,低楼层 (共32层),118.19平米
1492,闵行 颛桥,暂无数据,金榜星墅,5室2厅3卫  整租,南,12000,低楼层 (共3层),219.52平米
1493,长宁 天山,距地铁2号线威宁路931米,仁恒河滨花园,3室2厅2卫,南,32000,高楼层 (共31层),184.58平米
1494,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,4200,高楼层 (共18层),89平米
1495,徐汇 徐家汇,距地铁1号线徐家汇662米,南天大楼,2室1厅1卫  整租,东南,9500,高楼层 (共23层),82.4平米
1496,普陀 曹杨,距地铁11号线(迪士尼-花桥)枫桥路257米,曹杨七村,2室0厅1卫,南,4500,低楼层 (共5层),45平米
1497,普陀 桃浦,暂无数据,同进理想城,2室2厅2卫  整租,南,4200,中楼层 (共9层),41.2平米
1498,浦东 高行,暂无数据,幸福小镇(公寓),2室2厅1卫  整租,南,4500,中楼层 (共14层),97.72平米
1499,浦东 洋泾,距地铁6号线民生路575米,巨西小区,1室1厅1卫,南,5000,高楼层 (共6层),40.61平米
1500,黄浦 黄浦滨江,距地铁9号线小南门736米,上海滩花园,2室2厅1卫  整租,南,16000,中楼层 (共18层),108平米
1501,嘉定 嘉定老城,暂无数据,张马路38弄,3室1厅1卫,南,3300,低楼层 (共6层),82.84平米
1502,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,5000,低楼层 (共18层),90.14平米
1503,闵行 梅陇,距地铁1号线外环路763米,罗阳七村(三洲花园),1室1厅1卫  整租,南,3500,低楼层 (共6层),42.55平米
1504,杨浦 新江湾城,距地铁10号线(新江湾城-虹桥火车站)三门路826米,尚浦名邸,3室2厅3卫,南,26500,中楼层 (共12层),197平米
1505,闵行 静安新城,距地铁9号线合川路931米,大上海国际花园十区,3室2厅1卫  整租,南,11000,低楼层 (共6层),98.18平米
1506,闵行 古美,距地铁1号线莲花路670米,南方新村,2室2厅1卫,南,5000,中楼层 (共6层),78.18平米
1507,青浦 赵巷,暂无数据,宝龙城市广场(青浦),3室1厅2卫,南,5500,中楼层 (共16层),76平米
1508,闸北 大宁,距地铁1号线中山北路416米,中山北路805弄,1室1厅1卫,南,3500,高楼层 (共6层),34.29平米
1509,普陀 真光,暂无数据,阳光威尼斯(二期),2室2厅1卫  整租,南,4800,低楼层 (共18层),91.33平米
1510,普陀 曹杨,距地铁3号线曹杨路531米,曹杨六村(兰溪园),2室1厅1卫,南,5500,中楼层 (共26层),61.56平米
1511,浦东 世博,距地铁7号线杨高南路244米,凯德嘉博名邸,2室1厅1卫,南,9000,低楼层 (共16层),91.96平米
1512,虹口 鲁迅公园,距地铁8号线曲阳路691米,欧四小区,1室0厅1卫,南,3600,中楼层 (共5层),29平米
1513,奉贤 海湾,暂无数据,海尚墅林苑,1室1厅1卫,南,1000,中楼层 (共17层),71平米
1514,闵行 颛桥,暂无数据,都市富苑,3室2厅1卫  整租,南,4580,低楼层 (共13层),97.72平米
1515,松江 佘山,暂无数据,绿地海珀佘山,2室1厅1卫,南 北,3000,中楼层 (共6层),68.51平米
1516,浦东 金杨,距地铁6号线云山路334米,名典苑,2室2厅1卫,南,6500,低楼层 (共11层),123平米
1517,闵行 莘庄,暂无数据,绿梅二村,2室1厅1卫  整租,南,4500,低楼层 (共6层),64平米
1518,浦东 张江,暂无数据,川杨新苑(一期),2室2厅1卫,南 北,5700,低楼层 (共13层),94平米
1519,嘉定 丰庄,暂无数据,嘉利坊,1室0厅1卫  整租,南,3500,低楼层 (共6层),34.38平米
1520,虹口 曲阳,暂无数据,巴林小区,2室1厅1卫,南,5300,中楼层 (共6层),54.4平米
1521,静安 南京西路,距地铁1号线汉中路777米,泰府名邸,2室2厅1卫  整租,南,18500,低楼层 (共32层),118.19平米
1522,闵行 颛桥,暂无数据,金榜星墅,5室2厅3卫  整租,南,12000,低楼层 (共3层),219.52平米
1523,长宁 天山,距地铁2号线威宁路931米,仁恒河滨花园,3室2厅2卫,南,32000,高楼层 (共31层),184.58平米
1524,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,4200,高楼层 (共18层),89平米
1525,徐汇 徐家汇,距地铁1号线徐家汇662米,南天大楼,2室1厅1卫  整租,东南,9500,高楼层 (共23层),82.4平米
1526,普陀 曹杨,距地铁11号线(迪士尼-花桥)枫桥路257米,曹杨七村,2室0厅1卫,南,4500,低楼层 (共5层),45平米
1527,普陀 桃浦,暂无数据,同进理想城,2室2厅2卫  整租,南,4200,中楼层 (共9层),41.2平米
1528,浦东 高行,暂无数据,幸福小镇(公寓),2室2厅1卫  整租,南,4500,中楼层 (共14层),97.72平米
1529,浦东 洋泾,距地铁6号线民生路575米,巨西小区,1室1厅1卫,南,5000,高楼层 (共6层),40.61平米
1530,黄浦 黄浦滨江,距地铁9号线小南门736米,上海滩花园,2室2厅1卫  整租,南,16000,中楼层 (共18层),108平米
1531,嘉定 嘉定老城,暂无数据,张马路38弄,3室1厅1卫,南,3300,低楼层 (共6层),82.84平米
1532,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,5000,低楼层 (共18层),90.14平米
1533,闵行 梅陇,距地铁1号线外环路763米,罗阳七村(三洲花园),1室1厅1卫  整租,南,3500,低楼层 (共6层),42.55平米
1534,杨浦 新江湾城,距地铁10号线(新江湾城-虹桥火车站)三门路826米,尚浦名邸,3室2厅3卫,南,26500,中楼层 (共12层),197平米
1535,闵行 静安新城,距地铁9号线合川路931米,大上海国际花园十区,3室2厅1卫  整租,南,11000,低楼层 (共6层),98.18平米
1536,闵行 古美,距地铁1号线莲花路670米,南方新村,2室2厅1卫,南,5000,中楼层 (共6层),78.18平米
1537,青浦 赵巷,暂无数据,宝龙城市广场(青浦),3室1厅2卫,南,5500,中楼层 (共16层),76平米
1538,闸北 大宁,距地铁1号线中山北路416米,中山北路805弄,1室1厅1卫,南,3500,高楼层 (共6层),34.29平米
1539,普陀 真光,暂无数据,阳光威尼斯(二期),2室2厅1卫  整租,南,4800,低楼层 (共18层),91.33平米
1540,普陀 曹杨,距地铁3号线曹杨路531米,曹杨六村(兰溪园),2室1厅1卫,南,5500,中楼层 (共26层),61.56平米
1541,浦东 世博,距地铁7号线杨高南路244米,凯德嘉博名邸,2室1厅1卫,南,9000,低楼层 (共16层),91.96平米
1542,虹口 鲁迅公园,距地铁8号线曲阳路691米,欧四小区,1室0厅1卫,南,3600,中楼层 (共5层),29平米
1543,奉贤 海湾,暂无数据,海尚墅林苑,1室1厅1卫,南,1000,中楼层 (共17层),71平米
1544,闵行 颛桥,暂无数据,都市富苑,3室2厅1卫  整租,南,4580,低楼层 (共13层),97.72平米
1545,松江 佘山,暂无数据,绿地海珀佘山,2室1厅1卫,南 北,3000,中楼层 (共6层),68.51平米
1546,浦东 金杨,距地铁6号线云山路334米,名典苑,2室2厅1卫,南,6500,低楼层 (共11层),123平米
1547,闵行 莘庄,暂无数据,绿梅二村,2室1厅1卫  整租,南,4500,低楼层 (共6层),64平米
1548,浦东 张江,暂无数据,川杨新苑(一期),2室2厅1卫,南 北,5700,低楼层 (共13层),94平米
1549,嘉定 丰庄,暂无数据,嘉利坊,1室0厅1卫  整租,南,3500,低楼层 (共6层),34.38平米
1550,虹口 曲阳,暂无数据,巴林小区,2室1厅1卫,南,5300,中楼层 (共6层),54.4平米
1551,静安 南京西路,距地铁1号线汉中路777米,泰府名邸,2室2厅1卫  整租,南,18500,低楼层 (共32层),118.19平米
1552,闵行 颛桥,暂无数据,金榜星墅,5室2厅3卫  整租,南,12000,低楼层 (共3层),219.52平米
1553,长宁 天山,距地铁2号线威宁路931米,仁恒河滨花园,3室2厅2卫,南,32000,高楼层 (共31层),184.58平米
1554,松江 松江大学城,暂无数据,保利西子湾,2室2厅1卫,南,4200,高楼层 (共18层),89平米
1555,徐汇 徐家汇,距地铁1号线徐家汇662米,南天大楼,2室1厅1卫  整租,东南,9500,高楼层 (共23层),82.4平米
1556,普陀 曹杨,距地铁11号线(迪士尼-花桥)枫桥路257米,曹杨七村,2室0厅1卫,南,4500,低楼层 (共5层),45平米
1557,普陀 桃浦,暂无数据,同进理想城,2室2厅2卫  整租,南,4200,中楼层 (共9层),41.2平米
1558,浦东 高行,暂无数据,幸福小镇(公寓),2室2厅1卫  整租,南,4500,中楼层 (共14层),97.72平米
